Year,Record,Artist,Genre
1959,Nel Blu Dipinto Di Blu (Volare),Domenico Modugno,Balad
1960,Mack the Knife,Bobby Darin,Jazz
1961,Theme from A Summer Place,Percy Faith,Easy Listening
1962,Moon River,Henry Mancini,Traditional Pop
1963,I Left My Heart in San Francisco,Tony Bennett,Traditional Pop
1964,Days of Wine and Roses,Henry Mancini,Easy Listening
1965,The Girl from Ipanema,Stan Getz & Joao Gilberto,Jazz
1966,A Taste of Honey,Herb Alpert,Jazz
1967,Strangers in the Night,Frank Sinatra,Jazz
1968,"Up, Up and Away",The 5th Dimension,Soul
1969,Mrs. Robinson,Simon & Garfunkel,Folk Rock
1970,Aquarius / Let the Sunshine In,The 5th Dimension,Soul
1971,Bridge Over Troubled Water,Simon & Garfunkel,Rock
1972,It's Too Late,Carole King,Rock
1973,The First Time Ever I Saw Your Face,Roberta Flack,Soul
1974,Killing Me Softly with His Song,Roberta Flack,Soul
1975,I Honestly Love You,Olivia Newton-John,Rock
1976,Love Will Keep Us Together,Captain & Tennille,Pop
1977,This Masquerade,George Benson,R&B
1978,Hotel California,The Eagles,Rock
1979,Just the Way You Are,Billy Joel,Rock
1980,What a Fool Believes,The Doobie Brothers,Rock
1981,Sailing,Christopher Cross,Rock
1982,Bette Davis Eyes,Kim Carnes,Rock
1983,Rosanna,Toto,Rock
1984,Beat It,Michael Jackson,Rock
1985,What's Love Got to Do with It,Tina Turner,R&B
1986,We are the World,USA for Africa,Pop
1987,Higher Love,Steve Winwood,Rock
1988,Graceland,Paul Simon,Folk
1989,Don't Worry Be Happy,Bobby McFerrin,Jazz
1990,From a Distance,Bette Midler,Pop
1991,Another Day in Paradise,Phil Collins,Pop
1992,Unforgettable,Natalie Cole & Nat King Cole,Traditional Pop
1993,Tears in Heaven,Eric Clapton,Rock
1994,A Whole New World,Peabo Bryson & Regina Belle,Show Tune
1995,All I Wanna Do,Sheryl Crow,Rock
1996,Kiss from a Rose,Seal,Pop
1997,Change the World,Eric Clapton,Pop
1998,Sunny Came Home,Shawn Colvin,Rock
1999,My Heart Will Go On,Celine Dion,Pop
2000,Smooth,Santana feat Rob Thomas,Rock
2001,Beautiful,Christina Aguilera,Pop
2002,Fallin’,Alicia Keys,R&B
2003,Don't Know Why,Norah Jones,Pop
2004,Clocks,Coldplay,Rock
2005,Here We Go Again,Ray Charles & Norah Jones,Traditional Pop 
2006,Breathe,Faith Hill,Country
2007,Not Ready to Make Nice,Dixie Chicks,Country
2008,Rehab,Amy Winehouse,Pop
2009,Please Read the Letter,Robert Plant & Alison Krauss,Rock
2010,Use Somebody,Kings of Leon,Rock
2011,Need You Now,Lady Antebellum,Country
2012,Rolling in the Deep,Adele,Pop
2013,Somebody That I Used to Know,Gotye feat Kimbra,Pop
2014,Get Lucky,Daft Punk feat Pharrell Williams & Nile Rodgers,Electronica
2015,Stay with Me,Sam Smith,Pop
2016,Uptown Funk,Mark Ronson feat Bruno Mars,Pop
2017,Hello,Adele,Pop
2018,24K Magic,Bruno Mars,Pop
2019,This Is America,Childish Gambino,Rap/Hip-Hop
2020,Bad Guy,Billie Eilish,Pop
2021,Everything I Wanted,Billie Eilish,Pop
2022,Leave the door open,Silk Sonic,R&B
